OTUID	SRR4446532	SRR4446534	SRR4446536	SRR4446538	SRR4446540	SRR4446542	SRR4446544	SRR4446546	SRR4446548	SRR4446550	SRR4446552	SRR4446554	SRR4446557	SRR4446558	SRR4446559	SRR4446564	SRR4446566	SRR4446568	SRR4446570	SRR4446572	SRR4446574	SRR4446576	SRR4446578	SRR4446579	SRR4446582	SRR4446584	SRR4446586	SRR4446588	SRR4446590	SRR4446592	SRR4446594	SRR4446595	SRR4446597	SRR4446598	SRR4446601	SRR4446604	SRR4446605	SRR4446607	SRR4446609	SRR4446611	taxonomy
0015b80b3298acb1e88a7d5f543c3885	20153.0	0.0	86.0	6467.0	122.0	0.0	0.0	0.0	54.0	0.0	75.0	318.0	6855.0	3207.0	113.0	24209.0	88.0	94.0	5100.0	17634.0	0.0	0.0	144.0	57.0	15226.0	8951.0	60.0	252.0	108.0	99.0	40165.0	60.0	0.0	95.0	2942.0	99.0	0.0	213.0	87.0	170.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella
82c730ace7bd432f223095fa91a77414	938.0	7791.0	3063.0	0.0	2494.0	1931.0	1923.0	175.0	17123.0	1893.0	4185.0	0.0	256.0	1245.0	2812.0	181.0	2856.0	3285.0	1038.0	229.0	5259.0	601.0	541.0	941.0	145.0	1273.0	9399.0	2328.0	0.0	828.0	103.0	3319.0	22600.0	3528.0	215.0	1404.0	10666.0	9029.0	1410.0	1920.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
48493ab8e76629cbd5dc67a8dfa25231	525.0	14649.0	3634.0	0.0	175.0	0.0	13650.0	0.0	0.0	231.0	309.0	292.0	81.0	0.0	14261.0	601.0	8528.0	3198.0	162.0	165.0	55.0	124.0	0.0	4994.0	0.0	2226.0	136.0	4058.0	0.0	2814.0	0.0	1441.0	57.0	0.0	214.0	2640.0	0.0	8320.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_plebeius
7c63b062836bff97f78ee587b8bb72b0	1580.0	17254.0	1523.0	1861.0	121.0	0.0	0.0	0.0	0.0	0.0	653.0	2145.0	1585.0	0.0	8748.0	2361.0	505.0	1983.0	1124.0	1735.0	772.0	1609.0	2796.0	555.0	1729.0	606.0	0.0	1025.0	753.0	746.0	130.0	59.0	6842.0	367.0	2206.0	2334.0	2610.0	2082.0	1899.0	2663.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium
21eee39d5b338c46fbb316e2fb6e7908	1168.0	8479.0	2798.0	544.0	529.0	932.0	202.0	46.0	0.0	0.0	408.0	5009.0	391.0	1287.0	5598.0	379.0	964.0	1278.0	917.0	193.0	2685.0	1801.0	1492.0	1024.0	1065.0	467.0	56.0	272.0	1320.0	227.0	3598.0	3848.0	1734.0	9980.0	484.0	871.0	963.0	8965.0	727.0	919.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium
b62df67c5630d54ddcd0553d8a226a9b	165.0	359.0	257.0	565.0	328.0	20932.0	335.0	1513.0	50.0	655.0	99.0	356.0	1058.0	804.0	597.0	103.0	178.0	598.0	75.0	24.0	341.0	49.0	141.0	64.0	221.0	197.0	433.0	20748.0	126.0	13598.0	148.0	46.0	73.0	85.0	390.0	5133.0	1698.0	179.0	105.0	380.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella
15f7508397c0ce5be974019d451f8200	4286.0	0.0	0.0	2856.0	228.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	15263.0	9007.0	0.0	11530.0	0.0	0.0	1198.0	10998.0	0.0	0.0	0.0	83.0	4951.0	0.0	0.0	278.0	113.0	0.0	10316.0	93.0	0.0	0.0	1157.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella
f23b40860087c4620e14e62e75c5f6d0	898.0	10843.0	2372.0	2132.0	0.0	776.0	1566.0	0.0	0.0	0.0	268.0	1652.0	236.0	0.0	3404.0	1937.0	0.0	3267.0	1215.0	402.0	0.0	3090.0	7143.0	782.0	1261.0	299.0	894.0	325.0	574.0	365.0	3497.0	298.0	0.0	468.0	1043.0	218.0	812.0	6214.0	1522.0	158.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium
7bca1b8b3fa047bb9c4b8e870b61a469	0.0	1947.0	0.0	141.0	905.0	0.0	0.0	172.0	740.0	2954.0	4341.0	10152.0	84.0	0.0	604.0	0.0	0.0	417.0	0.0	0.0	0.0	158.0	5896.0	831.0	0.0	569.0	0.0	875.0	9556.0	293.0	1794.0	0.0	0.0	7233.0	0.0	657.0	0.0	0.0	251.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
ccf2ae01c6813dda52d25de37d1c15f9	0.0	0.0	964.0	1352.0	7899.0	0.0	1008.0	0.0	0.0	0.0	365.0	2229.0	1011.0	47.0	822.0	4860.0	1145.0	4031.0	1189.0	0.0	0.0	0.0	0.0	0.0	0.0	235.0	2465.0	272.0	0.0	397.0	0.0	950.0	0.0	0.0	798.0	4410.0	1968.0	0.0	1434.0	889.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Agathobacter
211a023ae0e2b4ecaefaf70ca0c7463f	0.0	0.0	0.0	2372.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	3604.0	2608.0	0.0	15962.0	0.0	0.0	624.0	1008.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9501.0	0.0	0.0	0.0	727.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella
22888a97c03463c00fea9c3a2f02a48d	702.0	2419.0	594.0	249.0	817.0	60.0	2868.0	75.0	0.0	51.0	765.0	0.0	617.0	31.0	1049.0	0.0	1414.0	522.0	558.0	265.0	398.0	380.0	755.0	478.0	750.0	193.0	533.0	965.0	414.0	130.0	207.0	0.0	1048.0	852.0	646.0	156.0	1847.0	7029.0	675.0	1311.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia
b8490d8716edc8981d68f12196d2775b	0.0	78.0	881.0	0.0	0.0	0.0	21.0	9.0	3482.0	4800.0	0.0	402.0	0.0	0.0	2548.0	31.0	44.0	597.0	0.0	305.0	2725.0	92.0	669.0	477.0	16.0	4702.0	0.0	110.0	2265.0	73.0	498.0	0.0	2326.0	619.0	0.0	600.0	2851.0	0.0	185.0	412.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Parasutterella
04667fcd47ae199b0b1ade7ce6178c13	0.0	0.0	3467.0	0.0	0.0	236.0	73.0	63.0	0.0	23.0	93.0	169.0	0.0	48.0	8723.0	82.0	10.0	2031.0	358.0	63.0	4011.0	21.0	1332.0	21.0	0.0	115.0	24.0	0.0	0.0	3829.0	0.0	0.0	0.0	0.0	31.0	1172.0	5696.0	0.0	20.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_coprocola
7891a5dff6a22d5df0f135201b8e8af7	0.0	793.0	664.0	54.0	0.0	1041.0	379.0	86.0	7453.0	651.0	0.0	0.0	93.0	1200.0	0.0	159.0	273.0	550.0	0.0	0.0	715.0	445.0	1335.0	2662.0	67.0	528.0	21.0	561.0	75.0	81.0	106.0	1795.0	0.0	0.0	151.0	1126.0	1552.0	963.0	725.0	2271.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_stercoris
791424c725d8ab95807818a777762533	292.0	879.0	1059.0	0.0	909.0	809.0	639.0	5647.0	699.0	2664.0	0.0	18.0	0.0	2075.0	2299.0	926.0	84.0	16.0	0.0	0.0	1063.0	27.0	193.0	2133.0	62.0	2637.0	16.0	0.0	0.0	11.0	0.0	0.0	631.0	0.0	225.0	612.0	1281.0	321.0	272.0	0.0	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Phascolarctobacterium
d7740a1d7a394310fd9700d251de9398	54.0	995.0	348.0	357.0	0.0	16358.0	164.0	0.0	0.0	0.0	314.0	19.0	307.0	0.0	1690.0	1334.0	174.0	323.0	89.0	331.0	0.0	233.0	110.0	286.0	320.0	586.0	0.0	560.0	0.0	143.0	0.0	0.0	0.0	0.0	162.0	432.0	130.0	383.0	344.0	224.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Subdoligranulum
a8861fabd5b8d4bea85e0ee3056b8a8e	401.0	3844.0	326.0	179.0	1243.0	412.0	0.0	0.0	0.0	0.0	565.0	0.0	468.0	0.0	462.0	1843.0	268.0	1436.0	212.0	0.0	661.0	635.0	1320.0	568.0	387.0	380.0	0.0	0.0	0.0	812.0	2305.0	0.0	0.0	3735.0	699.0	0.0	1177.0	0.0	926.0	1046.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
4f95ca3ba6ea62899a3f1de988c73f35	143.0	365.0	440.0	566.0	286.0	289.0	646.0	820.0	437.0	146.0	545.0	543.0	156.0	1650.0	240.0	1113.0	843.0	1454.0	748.0	503.0	796.0	87.0	378.0	1339.0	64.0	318.0	800.0	72.0	508.0	175.0	542.0	1212.0	889.0	612.0	1342.0	489.0	322.0	1261.0	792.0	247.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia
